DATA;ABERTURA;FECHAMENTO;VARIAÇÃO;MÍNIMO;MÁXIMO;VOLUME
07/03/2024;128.890;128.340;-0,43;128.033;129.188;n/d
06/03/2024;128.099;128.890;0,62;128.099;129.323;n/d
05/03/2024;128.336;128.098;-0,19;127.823;128.989;n/d
04/03/2024;129.176;128.341;-0,65;128.278;129.307;n/d
01/03/2024;129.026;129.180;0,12;128.717;129.716;n/d
29/02/2024;130.155;129.020;-0,87;128.669;130.155;n/d
28/02/2024;131.685;130.155;-1,16;129.771;131.685;n/d
27/02/2024;129.613;131.689;1,61;129.613;131.696;n/d
26/02/2024;129.417;129.609;0,15;129.077;129.978;n/d
23/02/2024;130.240;129.419;-0,63;129.077;130.624;n/d
22/02/2024;130.035;130.241;0,16;129.971;130.829;n/d
21/02/2024;129.916;130.032;0,09;129.359;130.034;n/d
20/02/2024;129.033;129.916;0,68;128.326;129.916;n/d
19/02/2024;128.720;129.036;0,24;128.097;129.036;n/d
16/02/2024;127.809;128.726;0,72;127.653;129.069;n/d
15/02/2024;127.018;127.804;0,62;126.932;127.824;n/d
14/02/2024;126.100;127.018;-0,79;126.663;128.026;n/d
09/02/2024;128.216;128.026;-0,15;127.579;128.896;n/d
08/02/2024;129.950;128.217;-1,33;127.912;130.126;n/d
07/02/2024;130.412;129.950;-0,36;129.426;130.552;n/d
06/02/2024;127.593;130.416;2,21;127.593;130.417;n/d
05/02/2024;127.182;127.593;0,32;126.443;127.834;n/d
02/02/2024;128.471;127.182;-1,01;126.628;128.878;n/d
01/02/2024;127.752;128.481;0,57;127.284;128.481;n/d
31/01/2024;127.402;127.752;0,28;127.326;129.558;n/d
30/01/2024;128.492;127.402;-0,86;127.105;128.492;n/d
29/01/2024;128.970;128.503;-0,36;127.853;129.068;n/d
26/01/2024;128.196;128.967;0,62;127.869;129.252;n/d
25/01/2024;127.815;128.169;0,28;127.803;128.697;n/d
24/01/2024;128.275;127.816;-0,35;127.680;129.446;n/d
23/01/2024;126.612;128.263;1,31;126.612;128.331;n/d
22/01/2024;127.636;126.602;-0,81;125.876;127.843;n/d
19/01/2024;127.319;127.636;0,25;126.533;127.820;n/d
18/01/2024;128.524;127.316;-0,94;127.316;129.047;n/d
17/01/2024;129.293;128.524;-0,60;128.312;129.296;n/d
16/01/2024;131.515;129.294;-1,69;129.147;131.517;n/d
15/01/2024;130.988;131.521;0,41;130.253;131.606;n/d
12/01/2024;130.652;130.988;0,26;130.410;131.927;n/d
11/01/2024;130.841;130.649;-0,15;129.898;131.308;n/d
10/01/2024;131.447;130.841;-0,46;130.438;131.628;n/d
09/01/2024;132.424;131.447;-0,74;131.203;132.426;n/d
08/01/2024;132.023;132.427;0,31;131.015;132.498;n/d
05/01/2024;131.218;132.023;0,61;130.579;132.635;n/d
04/01/2024;132.831;131.226;-1,21;131.024;132.885;n/d
03/01/2024;132.697;132.834;0,10;132.250;133.576;n/d
02/01/2024;134.186;132.697;-1,11;132.095;134.195;n/d
28/12/2023;134.194;134.185;-0,01;133.832;134.392;n/d
27/12/2023;133.523;134.194;0,49;133.328;134.195;n/d
26/12/2023;132.753;133.533;0,59;132.753;133.645;n/d
22/12/2023;132.182;132.753;0,43;132.094;133.035;n/d